"word";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"tout-à-fait";25;0;0;0;0;1;1;0;0;0;6;0;0;0;0;0;0;1;4;0;4;0;0;3;4;1;0;0;0;0;0;0;0;0
"trépas";25;0;1;0;4;0;0;1;0;1;0;1;1;0;0;0;0;0;0;2;2;0;0;0;0;1;7;0;0;1;3;0;0;0
"unir";25;0;5;4;1;0;0;1;0;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;1;2;0;0;0;0;1;0;1;1
"vaine";25;0;0;1;1;1;1;4;1;0;1;1;0;1;2;1;0;1;0;0;0;2;1;1;1;0;1;1;0;0;1;1;0;0
"vainqueur";25;1;3;0;0;1;2;2;0;0;0;2;0;0;0;0;0;2;1;3;3;1;0;1;0;1;0;0;0;0;1;0;1;0
"voulant";25;0;1;0;0;0;0;0;0;0;0;0;0;1;5;1;5;2;0;1;0;0;1;0;0;0;3;2;1;0;1;0;0;1
"agite";24;0;2;4;2;0;0;0;1;0;2;0;2;0;1;0;0;1;0;0;0;2;0;1;2;1;2;1;0;0;0;0;0;0
"apparence";24;0;0;1;0;0;0;1;1;1;1;1;3;1;0;0;1;4;2;0;2;3;0;0;0;0;0;0;0;0;1;1;0;0
"baillif";24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0
"bizarre";24;0;0;0;1;0;1;0;2;2;0;0;1;0;0;2;1;0;0;0;0;0;2;0;1;2;1;2;3;1;0;1;1;0
"briller";24;2;2;2;0;1;1;2;1;0;1;0;0;0;3;1;0;1;0;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0
"capable";24;0;1;0;0;0;0;0;3;1;2;1;0;0;0;0;0;2;1;0;1;0;2;4;0;0;0;1;0;1;1;2;0;1
"céans";24;0;0;1;1;0;0;0;1;6;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;1;1;2;1
"combats";24;0;3;0;1;0;0;1;0;1;0;2;0;0;0;0;2;0;0;1;2;0;1;0;3;3;0;0;1;1;0;0;0;2
"confondre";24;0;0;0;0;1;2;0;1;0;0;0;1;0;4;1;1;3;1;0;1;3;0;1;1;0;1;2;0;0;0;0;0;0
"demeurez";24;0;2;0;0;1;1;0;2;3;1;0;1;1;0;0;0;2;0;0;1;0;0;2;2;2;1;0;1;1;0;0;0;0
"dur";24;0;1;3;0;1;1;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;4;1;0;1;2;1;0;3;1;1
"effets";24;0;1;0;0;0;0;3;0;0;1;0;0;0;1;0;0;3;1;0;2;0;2;0;2;2;4;1;0;0;0;0;1;0
"formé";24;1;0;2;1;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;2;2;2;0;0;0;1;3;2;0;1;0;1
"fuis";24;0;0;1;1;0;1;5;0;0;0;2;0;0;1;0;2;1;0;3;1;0;3;0;0;0;0;0;0;1;1;0;0;1
"gentilhomme";24;1;0;0;1;0;1;4;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;6;3;1;0;0;2;0;0;1
"hon";24;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hyménée";24;0;1;0;0;0;0;1;0;0;2;2;0;0;0;0;0;4;2;1;3;4;0;0;0;0;0;1;0;1;1;0;0;1
"jeter";24;0;0;0;0;0;1;2;1;0;0;1;0;0;0;0;0;0;2;1;0;1;0;2;1;1;3;1;2;0;0;3;1;1
"là-bas";24;0;0;1;1;0;0;0;1;0;0;1;2;0;1;1;3;0;0;1;0;0;0;0;0;0;8;0;1;0;1;1;0;1
"maris";24;1;0;1;1;0;0;0;1;0;1;0;0;0;0;2;2;0;1;0;0;0;1;1;3;3;2;0;1;0;2;0;0;1
"misère";24;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;2;0;1;0;2;0;0;0;0;0;0;6;6;0;1;2
"moquez";24;1;0;0;0;0;0;0;2;0;0;0;1;0;2;1;0;0;0;1;0;0;4;3;0;0;1;2;1;1;0;1;3;0
"mouvements";24;0;1;1;2;0;0;4;0;0;0;0;2;0;2;0;1;0;0;1;0;0;3;1;1;3;1;0;0;1;0;0;0;0
"nécessité";24;0;1;0;1;0;0;0;2;1;0;1;0;0;0;0;0;3;2;5;3;1;1;0;0;1;1;1;0;0;0;0;0;0
"nombre";24;1;0;0;2;0;1;0;0;0;2;2;0;1;0;2;0;0;3;0;1;0;1;3;3;2;0;0;0;0;0;0;0;0
"orage";24;0;2;0;0;0;0;0;0;1;0;1;3;0;0;1;1;1;0;0;1;3;0;1;0;0;3;1;1;0;1;3;0;0
"ôte";24;2;0;0;1;0;0;1;1;0;0;4;1;1;0;0;1;2;2;0;0;1;1;0;0;0;3;1;1;0;1;0;0;0
"paraissez";24;0;1;1;1;1;0;0;0;3;0;0;0;0;2;0;1;1;0;1;0;1;0;0;1;0;3;2;1;2;0;0;2;0
"pensez";24;0;0;1;0;0;0;0;0;1;1;0;1;2;2;1;0;1;1;0;1;1;0;0;1;3;1;0;0;2;2;1;0;1
"pleurer";24;0;3;0;2;0;0;0;0;0;1;1;1;0;0;0;1;1;2;1;1;2;0;2;1;0;2;0;0;1;1;0;0;1
"porté";24;0;0;2;2;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0;4;0;0;0;1;2;1;1;2;1;1;0;1;1
"préfère";24;1;1;0;3;2;2;1;2;0;1;0;1;2;1;0;0;0;0;0;2;1;0;0;0;1;0;0;2;0;0;0;0;1
"prêter";24;0;0;0;2;2;3;0;2;0;1;0;2;0;0;1;0;2;1;0;0;2;1;0;1;2;0;1;0;0;1;0;0;0
"prévenir";24;0;2;1;2;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;5;1;1;0;0;0;0;3;0;1;0;1;1
"prise";24;1;2;0;1;0;1;0;0;1;1;0;2;1;1;0;0;3;1;1;0;2;1;1;0;0;1;1;1;1;0;0;0;0
"ravie";24;0;1;1;5;1;0;0;0;0;0;0;0;1;0;0;1;2;1;1;4;0;0;0;1;3;0;1;0;0;0;0;0;1
"rêve";24;0;0;0;0;0;0;2;0;0;1;1;0;1;2;1;3;1;0;0;1;0;1;3;0;1;2;1;0;0;0;0;2;1
"souvient";24;0;0;0;0;0;0;1;0;0;0;1;1;0;0;2;0;2;1;0;2;0;0;1;2;0;4;1;0;4;2;0;0;0
"sujets";24;1;0;0;0;1;0;9;0;0;1;1;0;0;0;0;0;0;3;1;1;2;0;1;3;0;0;0;0;0;0;0;0;0
"talent";24;0;0;1;4;7;1;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;1;0;2;0;3;0;0;1;0;0;0;0
"tomber";24;1;1;0;2;1;1;1;0;1;0;0;0;0;0;0;0;2;1;1;2;2;0;2;0;2;1;1;0;0;2;0;0;0
"tourment";24;0;0;1;2;3;2;0;0;1;2;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;1;3;3;0;1
"troubler";24;0;2;0;0;1;1;1;1;2;1;0;4;0;2;0;1;1;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;1
"valets";24;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;2;4;1;0;2;3;1;0;0;0;1;1;1;1;1;1;0
"viendra";24;0;0;0;1;0;1;0;2;0;1;1;1;0;2;1;2;0;1;0;0;1;1;0;0;2;2;1;1;0;1;1;1;0
"viennent";24;0;1;0;1;1;0;1;0;1;0;0;0;0;3;2;1;0;3;1;0;1;0;0;0;2;1;2;0;1;1;0;1;0
"violent";24;0;0;1;2;1;1;0;0;1;4;0;1;1;3;0;0;0;1;0;0;0;0;1;3;1;0;0;1;0;0;0;1;1
"aide";23;1;3;2;3;1;1;0;0;0;0;2;1;0;1;0;0;0;1;1;1;0;0;0;1;0;0;1;2;0;0;0;0;1
"allait";23;0;0;0;1;0;0;1;1;1;0;1;3;1;0;1;0;1;4;0;1;0;0;1;0;1;1;0;0;2;1;0;0;1
"alliance";23;0;1;0;0;0;0;0;1;0;0;1;0;0;3;0;0;1;4;0;1;0;0;4;0;2;1;1;0;1;0;0;2;0
"approuve";23;0;0;0;2;2;1;1;1;0;3;2;0;0;0;0;2;0;0;1;1;3;1;0;0;0;0;0;1;0;2;0;0;0
"attendais";23;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;3;1;1;1;3;1;0;0;0;1;1;2;1;0;1;2
"attendons";23;0;0;0;0;0;0;0;1;1;1;2;2;0;0;0;2;1;0;0;0;0;1;2;1;2;0;1;2;2;1;0;1;0
"avenir";23;2;0;1;0;1;2;0;0;1;0;1;0;0;0;0;0;5;2;1;2;1;1;2;0;0;1;0;0;0;0;0;0;0
"brillants";23;4;1;1;0;0;2;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;1;0;1;7;1;0;1;0;0;0;0;0
"causer";23;0;2;0;1;0;3;0;2;1;2;0;2;0;0;0;0;0;1;2;1;2;1;0;1;0;1;1;0;0;0;0;0;0
"commencer";23;0;0;0;1;1;2;0;1;1;1;1;0;0;1;0;0;0;1;2;0;3;2;1;2;0;0;1;0;1;0;0;0;1
"conjoncture";23;0;0;0;0;0;0;3;0;0;0;0;1;0;4;1;0;1;3;0;0;2;1;1;3;0;0;0;1;0;2;0;0;0
"conquête";23;0;0;1;0;0;3;0;0;0;1;0;1;0;0;0;1;1;3;2;0;3;1;0;1;1;0;1;2;1;0;0;0;0
"consulter";23;1;0;2;3;1;0;0;1;1;0;1;2;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;1;3;0;0;1;1
"coûte";23;0;0;2;0;1;1;0;1;0;0;0;1;0;0;1;0;1;2;0;0;0;0;0;3;2;2;0;0;1;1;1;1;2
"démon";23;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;3;2;6;0;1;2;0;0;2;1;0;1
"désire";23;0;0;1;1;3;4;1;1;0;0;1;1;0;1;0;2;0;2;1;0;2;0;0;0;0;0;0;1;1;0;0;0;0
"doutez";23;0;0;0;0;0;0;3;0;0;2;1;3;0;0;0;0;0;1;0;4;2;0;0;0;0;2;0;0;2;2;0;0;1
"esclavage";23;1;0;1;0;1;1;2;0;1;3;1;0;0;0;0;0;1;0;2;0;2;0;0;0;0;0;1;1;3;2;0;0;0
"éternel";23;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;1;2;3;1;9;1;0;2;0;0;0;0;0;0;0;0;0;0
"fier";23;0;0;3;0;0;1;0;2;2;0;1;0;1;0;0;0;0;0;0;1;0;2;0;0;1;0;1;0;2;2;2;0;2
"flatté";23;0;1;0;2;0;0;2;1;4;1;0;1;0;0;0;1;1;1;2;0;0;1;1;0;0;0;1;1;0;1;1;0;0
"génie";23;5;0;2;5;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;1;3;1;0;0;0;0;0;0;0;1
"grâces";23;0;1;3;3;0;2;0;1;1;1;0;0;0;0;0;0;4;2;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0
"guérir";23;0;0;0;9;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;2;1;1;0;4;0;0;1;0;0;0;1;0;0
"inconstance";23;1;0;0;0;0;4;0;0;0;6;0;0;0;4;0;1;0;0;0;1;2;0;0;0;1;0;0;0;1;1;1;0;0
"intérêts";23;0;1;0;0;0;1;0;1;1;2;0;0;0;0;3;1;0;0;1;0;0;1;5;2;1;0;0;1;2;0;0;0;0
"marché";23;0;0;0;0;0;0;0;1;3;0;1;3;0;0;0;0;1;2;1;0;0;1;0;0;3;0;0;2;2;1;0;2;0
"misérable";23;0;1;0;0;0;0;5;3;0;0;0;1;0;0;0;0;1;1;0;2;0;0;0;0;1;1;0;0;1;2;3;1;0
"morgué";23;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;1
"mouvement";23;0;1;1;0;1;0;1;2;0;3;1;2;0;0;0;1;0;0;1;1;1;1;2;0;0;3;1;0;0;0;0;0;0
"nuire";23;1;0;1;0;0;2;0;0;1;1;0;0;0;2;0;1;0;0;1;0;2;1;1;1;0;1;2;1;0;0;4;0;0
"obéis";23;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;1;3;1;1;1;0;1;1;2;0;2;0;2;0;2
"obstacle";23;0;4;1;1;0;0;0;2;0;0;0;0;0;2;0;5;1;1;1;2;0;0;0;1;1;0;1;0;0;0;0;0;0
"permettre";23;0;1;1;1;0;0;0;1;1;0;5;1;0;0;0;0;0;1;1;1;1;0;1;0;0;0;1;0;2;0;3;0;1
"pouvais";23;0;0;3;1;0;0;0;3;0;0;1;1;0;0;0;0;7;0;1;2;1;0;0;0;0;1;1;0;1;0;0;0;0
"premièrement";23;1;0;0;0;0;2;1;4;0;0;0;0;1;1;1;2;0;0;1;0;0;0;0;2;1;3;1;2;0;0;0;0;0
"princesse";23;0;0;0;0;0;0;14;0;0;0;3;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0
"produit";23;1;2;1;1;2;1;0;0;0;0;0;1;0;1;1;0;0;0;0;2;1;1;1;0;1;1;0;1;2;1;0;1;0
"quartier";23;2;0;0;0;0;0;0;3;0;0;0;1;0;2;0;1;1;0;0;0;1;0;1;1;0;0;1;7;1;1;0;0;0
"réduit";23;0;0;1;1;0;1;1;0;0;0;0;1;0;2;0;1;1;0;1;1;2;0;2;1;1;2;2;0;0;2;0;0;0
"saisir";23;0;0;3;2;2;0;1;0;4;0;0;1;0;0;0;0;3;1;1;0;0;1;0;1;1;0;0;0;0;1;0;0;1
"saurez";23;0;1;0;0;1;0;0;4;1;0;0;1;0;2;0;2;0;0;0;0;0;0;3;3;0;1;1;0;0;1;1;1;0
"soupire";23;0;3;1;3;1;1;2;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;2;4;0;0;0;0;0;1;0;0
"souviens";23;0;0;0;0;0;0;2;0;0;0;4;0;0;1;2;0;0;1;0;1;1;0;0;1;2;3;1;0;2;0;0;0;2
"succession";23;0;0;0;0;0;0;0;2;0;0;0;0;0;7;0;0;3;0;0;0;0;0;0;0;0;8;3;0;0;0;0;0;0
"surprend";23;0;2;2;0;2;2;0;0;3;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;2;0;3;1;0
"tombe";23;0;0;2;0;1;0;1;0;2;0;0;2;0;0;0;0;1;4;0;0;0;0;1;1;1;1;0;0;4;1;0;0;1
"venait";23;0;0;0;1;0;0;0;1;3;1;0;1;0;1;1;1;2;2;0;1;1;0;3;1;1;0;0;1;0;0;0;0;1
"vieillard";23;0;0;0;0;0;0;1;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;2;4;0;3;0;1;0;5;0;0;2
"volage";23;1;0;0;0;1;4;0;0;0;2;0;0;0;0;1;2;0;0;0;0;5;1;0;0;1;0;0;0;0;3;0;1;1
"acanthe";22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0
"anime";22;0;1;0;0;2;1;2;0;0;2;1;1;0;0;0;0;0;0;0;1;1;0;2;0;1;1;0;0;3;1;2;0;0
"appris";22;0;1;3;0;0;1;2;1;1;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;3;1;1;0;1;0;0;1
"assurance";22;0;2;1;0;0;1;0;1;2;1;0;0;0;1;1;0;2;2;1;1;4;0;2;0;0;0;0;0;0;0;0;0;0
"audience";22;0;0;0;0;0;0;0;0;0;0;11;0;0;2;1;1;1;1;0;1;0;0;1;0;0;0;0;2;1;0;0;0;0
"auteurs";22;1;0;0;1;2;1;0;0;0;0;0;0;0;0;1;0;0;1;6;0;0;0;0;3;0;0;1;4;0;0;1;0;0
"avertis";22;0;0;1;1;0;2;0;2;1;0;1;1;0;0;0;0;0;0;0;1;1;1;0;2;2;0;2;2;1;0;0;0;1
"bagatelle";22;0;0;3;0;0;0;0;1;2;0;1;0;0;0;1;1;1;1;3;0;0;0;2;2;0;0;0;0;0;1;1;2;0
"brusque";22;0;0;1;2;0;0;0;0;0;1;0;0;0;6;0;0;0;1;0;0;0;0;2;1;0;0;4;1;0;3;0;0;0
"calmer";22;0;1;1;3;1;0;0;0;1;0;0;0;0;0;0;2;0;1;0;2;0;0;3;2;1;0;0;1;1;1;0;0;1
"campagne";22;0;0;1;3;0;0;0;0;2;0;1;1;0;3;0;0;0;0;1;0;1;1;0;2;1;1;1;0;3;0;0;0;0
"cieux";22;0;1;0;0;2;0;6;0;0;4;1;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;1;0;1;2;0;0;0
"consens";22;0;0;1;0;0;0;0;0;1;0;5;0;1;1;0;2;0;2;1;0;0;1;0;1;1;2;1;0;0;1;0;1;0
"contrainte";22;0;1;4;1;1;0;0;0;0;2;1;1;0;2;2;0;0;0;0;1;3;0;0;3;0;0;0;0;0;0;0;0;0
"criminel";22;0;1;0;0;1;3;0;0;0;0;0;0;0;0;1;0;2;2;1;4;0;0;0;0;0;0;0;2;2;3;0;0;0
"demeurer";22;0;0;0;0;0;1;0;0;0;3;2;0;0;0;0;0;1;1;1;1;0;1;1;2;0;1;2;2;3;0;0;0;0
"détruire";22;2;0;1;0;0;3;2;0;1;3;0;0;0;1;0;1;2;2;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1
"dupe";22;1;0;3;0;3;1;0;0;2;0;0;0;1;1;0;0;0;1;0;0;0;3;0;1;3;0;0;1;0;0;1;0;0
"enchanté";22;1;0;2;5;0;0;2;0;0;1;3;0;0;1;0;0;0;0;0;2;1;0;0;0;0;1;2;0;0;0;1;0;0
"enfermer";22;1;1;0;1;0;0;2;4;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0;2;1;0;0;3;0;0;1
"ensuite";22;0;0;1;1;1;0;0;0;3;0;1;3;0;3;1;3;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0
"entraîne";22;0;4;2;1;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;1;0;0;0;0;1;2;0;0
"épreuve";22;0;1;0;0;1;1;0;1;0;2;1;1;1;2;0;0;0;0;1;2;3;1;0;0;0;1;1;0;2;0;0;0;0
"épris";22;0;3;1;0;0;0;0;1;1;3;0;2;0;0;0;0;1;0;0;0;2;4;0;0;0;2;0;0;0;2;0;0;0
"fauteuil";22;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;1;3;8;0;0;1;0;0;0;1
"fonde";22;0;1;0;1;0;0;0;1;1;0;0;0;0;1;2;0;2;2;1;2;0;0;0;0;1;1;0;0;1;0;2;2;1
"forcer";22;0;0;0;0;1;0;1;0;1;0;2;3;0;0;0;0;5;1;1;2;2;0;0;1;0;0;0;0;0;0;0;2;0
"franchement";22;0;0;1;1;0;0;0;2;0;4;1;1;1;1;0;3;2;2;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0
"frivole";22;0;1;4;2;0;4;0;0;0;0;0;0;1;0;0;0;2;3;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0
"goûter";22;0;1;2;1;0;2;1;0;0;1;2;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0;1;0;2;2;0;0;1
"heureusement";22;0;0;0;1;0;2;0;5;0;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;2;2;3;0;1;0;0;1;0
"honnêtes";22;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;1;2;2;0;1;2;2;1;2;1;1;1;0;0
"hôtel";22;0;0;7;1;1;0;0;0;1;1;1;0;0;0;0;2;0;2;0;0;0;1;0;0;2;0;0;0;0;0;0;2;1
"instruite";22;0;0;0;0;0;1;0;1;4;2;0;0;0;1;0;0;4;2;0;0;1;0;0;0;1;0;0;2;1;1;0;1;0
"jalouse";22;0;1;1;1;2;3;0;0;0;2;0;0;2;3;0;1;0;0;0;1;0;0;0;0;0;0;2;0;1;1;0;0;1
"joint";22;0;0;5;2;0;1;1;0;0;0;0;0;2;3;1;0;0;2;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0
"jolie";22;0;0;0;2;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;2;1;2;1;1;1;1;1;0;1;3
"justifier";22;0;0;0;0;0;1;3;1;2;0;1;0;0;4;0;0;1;1;0;4;2;1;0;0;0;0;0;0;0;0;0;1;0
"là-dedans";22;0;0;0;0;1;0;2;2;2;1;1;2;0;2;0;1;0;1;0;0;0;1;2;2;0;1;1;0;0;0;0;0;0
"nobles";22;0;3;0;0;0;0;0;1;1;0;3;0;0;3;0;0;0;0;0;0;0;1;2;1;0;1;1;1;4;0;0;0;0
"noire";22;1;0;0;1;0;1;4;1;0;0;2;0;0;1;1;0;0;2;0;0;0;0;1;1;1;1;2;0;0;1;1;0;0
"oublie";22;1;0;1;1;0;1;2;0;0;1;1;0;0;0;1;0;0;2;3;0;1;0;1;0;2;0;1;2;0;0;0;0;1
"payé";22;0;1;2;1;0;0;2;0;3;1;0;2;0;1;0;1;0;1;0;0;0;1;0;1;1;0;2;1;0;0;0;1;0
"profond";22;0;1;2;2;0;2;4;0;0;0;2;1;0;1;0;0;0;3;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0
"profonde";22;0;0;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;1;1;0;5;0;1;1;1;2
"refuser";22;0;0;0;1;0;2;0;1;0;0;2;1;1;0;2;0;1;1;2;0;2;0;0;1;1;1;0;1;1;0;0;0;1
"répandre";22;0;2;3;2;0;1;0;2;0;1;0;0;0;0;0;0;3;0;1;1;2;1;0;0;0;1;0;1;0;0;0;0;1
"ressens";22;0;0;1;0;1;1;1;1;0;0;0;2;0;0;0;0;1;0;2;1;0;2;2;1;0;2;1;0;2;0;1;0;0
"robe";22;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;2;1;6;2;0;1;1;3;0;2;0
"seconde";22;0;1;2;2;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;2;1;0;2;0;1;0;0
"souhaite";22;0;2;1;1;2;1;0;2;1;1;1;1;0;1;0;0;2;0;1;0;1;0;2;0;0;0;0;1;0;0;1;0;0
"tien";22;0;0;1;0;1;3;0;1;0;0;3;1;0;3;0;1;0;0;0;0;3;0;0;0;1;1;1;0;2;0;0;0;0
"tienne";22;0;0;1;0;0;0;2;1;1;0;1;3;0;0;0;1;0;0;1;1;2;1;3;1;1;0;0;1;1;0;0;0;0
"trembler";22;0;2;2;0;2;1;3;1;0;0;0;0;0;1;4;0;0;0;0;0;0;0;1;0;0;0;0;1;2;2;0;0;0
"triomphe";22;1;1;0;1;0;5;1;0;0;1;1;0;0;1;0;1;0;0;0;4;2;0;1;0;1;0;0;0;0;0;0;0;1
"vice";22;3;0;0;0;0;0;0;2;0;0;1;0;0;0;2;2;0;0;2;0;0;0;0;0;0;1;1;2;0;5;1;0;0
"'";21;1;1;0;1;0;0;0;0;0;0;2;0;13;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0
"abandonner";21;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2;3;2;2;2;0;1;1;0;0;1;1;0;0;0;0
"action";21;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;5;0;0;2;0;0;1;0;3;3;1;0;1;0;1;0;0
"admirable";21;0;0;4;1;1;0;0;2;0;0;1;0;0;2;0;0;0;0;1;0;1;0;1;1;2;1;1;1;0;0;1;0;0
"affreuse";21;0;1;1;0;0;0;4;1;0;0;0;0;0;0;0;0;1;1;1;3;5;1;0;0;0;0;0;0;1;1;0;0;0
"approche";21;0;0;2;1;0;1;0;0;0;1;0;2;0;0;0;0;0;0;1;1;2;0;2;1;1;2;0;2;0;0;0;0;2
"ardent";21;0;1;0;0;4;0;1;0;3;0;0;2;1;2;0;0;2;0;0;2;0;1;0;0;0;0;1;0;0;0;0;1;0
"arrivant";21;0;0;0;1;0;0;0;0;1;0;0;3;0;3;1;3;1;0;2;0;0;0;1;0;0;1;1;0;2;0;0;1;0
"asile";21;0;3;0;0;0;0;0;0;1;3;0;0;0;0;1;0;0;2;4;1;0;0;2;1;0;0;0;1;0;0;1;0;1
"au-dessus";21;0;1;0;0;0;0;1;0;0;0;3;1;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;3;1;0;0;6
"auparavant";21;0;1;0;3;1;1;0;1;2;0;1;0;0;0;0;0;2;2;0;3;1;1;0;0;0;0;0;1;0;1;0;0;0
"avocat";21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;13;0;0;0;7;0
"céder";21;0;0;1;0;0;0;2;0;2;0;0;2;1;4;1;0;1;1;2;1;0;0;0;1;0;0;0;0;0;1;1;0;0
"colette";21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0
"comédie";21;1;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;3;0;1;0;1;4;2;0;2;1;0;0;1;0;0
"conséquence";21;0;0;1;0;0;0;1;1;0;1;1;0;0;2;0;0;2;2;2;0;2;0;0;1;0;0;0;3;0;0;1;0;1
"console";21;0;1;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;1;2;0;1;1;1;0;0;1;0;3;2;1;0
"curieux";21;0;1;2;0;0;0;0;0;1;2;0;3;1;0;1;0;0;1;0;0;0;2;1;1;0;0;2;0;0;1;1;1;0
"déplaît";21;0;0;0;1;0;0;1;2;1;1;0;2;0;2;0;0;0;0;1;1;1;0;1;0;0;0;1;0;2;2;0;1;1
"descendre";21;0;1;2;0;1;0;0;2;1;3;2;0;0;2;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1
"détour";21;0;1;2;1;1;2;2;0;0;0;0;0;2;0;0;0;1;3;1;0;0;1;0;0;0;0;1;0;0;0;2;0;1
"diamants";21;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;5;3;0;0;1;0;0;0;3;0;0;0;0;0;0;0;3
"doivent";21;0;1;3;0;1;1;4;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;1
