"frpos";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"NOMcom DETdef ADJqua";203;5;6;8;7;7;0;5;12;8;4;15;3;3;5;3;7;0;3;6;11;1;7;4;7;11;11;4;13;9;6;2;4;6
"NOMcom DETdef ADVgen";203;4;14;11;10;5;10;4;4;6;8;14;3;4;6;1;2;8;16;6;18;7;7;4;5;5;1;5;2;2;3;5;1;2
"NOMcom PROind PROper";203;2;3;4;9;3;4;4;7;14;4;9;7;2;6;4;5;15;5;12;5;7;7;4;5;6;4;6;10;10;5;6;3;6
"PRE VERinf PROper";203;1;5;9;5;3;9;6;6;4;5;10;10;2;7;4;4;9;8;4;5;15;8;7;5;3;11;6;8;5;2;8;3;6
"NOMcom CONcoo NOMcom";202;4;2;5;9;2;3;2;3;7;2;16;7;5;20;6;15;0;5;1;3;1;7;6;14;12;9;12;7;3;8;1;2;3
"PRE NOMcom ADJqua";202;1;2;6;6;3;1;7;10;9;3;10;7;1;13;10;9;3;4;7;2;8;6;6;9;3;13;5;7;10;6;6;5;4
"PROrel DETpos NOMcom";202;2;9;11;9;5;6;12;4;7;3;3;9;0;5;2;3;8;8;9;6;11;5;10;4;8;6;2;4;6;3;9;5;8
"VERcjg PRE ADJqua";201;6;0;3;10;2;6;2;9;15;6;12;14;0;7;2;7;7;10;5;1;5;10;9;6;5;7;9;11;6;3;2;2;2
"VERcjg PROper NOMcom";200;1;0;10;9;2;5;2;13;8;4;11;14;6;11;6;6;6;7;4;5;2;6;6;5;12;8;3;3;7;9;2;4;3
"DETdef NOMcom NOMcom";199;1;6;7;13;8;6;8;4;12;2;19;12;1;9;4;8;2;5;5;1;3;6;5;6;10;5;2;9;9;4;1;3;3
"PRE PROper CONcoo";199;0;7;8;7;3;8;3;4;12;2;8;7;5;3;5;8;6;7;7;14;5;8;6;3;8;4;7;12;10;5;4;2;1
"VERcjg ADVgen DETndf";199;4;6;9;6;1;8;3;5;6;6;4;3;2;6;3;7;10;13;10;4;11;6;7;6;6;9;5;7;5;7;4;3;7
"VERcjg CONsub PROind";199;2;1;7;6;2;4;3;5;4;2;24;7;5;8;1;3;9;4;7;10;12;5;1;14;1;5;2;9;11;6;5;3;11
"VERinf PROdem VERcjg";199;2;3;7;6;1;3;7;6;4;6;6;6;7;9;4;6;14;8;8;6;12;5;2;7;7;6;5;4;4;8;10;4;6
"PROper PRE NOMcom";198;1;1;4;6;5;5;1;11;14;8;9;8;4;8;5;5;10;11;5;3;8;6;5;4;3;6;6;4;7;7;5;5;8
"VERppe PRE DETndf";198;3;9;8;9;3;3;14;2;10;5;2;4;2;3;0;4;4;8;5;11;3;10;2;4;18;8;7;5;8;7;6;6;5
"PRE PROper CONsub";197;2;5;9;2;2;12;5;5;8;4;10;9;4;12;5;2;10;8;4;9;10;6;6;4;5;5;8;6;4;3;6;2;5
"VERinf PROper ADVneg";197;2;5;8;2;2;3;4;9;2;6;8;5;4;7;7;4;17;11;7;12;16;5;7;6;8;7;4;6;6;4;1;1;1
"VERcjg ADVneg DETdef";196;3;4;3;7;5;5;7;8;3;4;11;5;5;5;7;2;8;13;11;5;9;3;5;8;4;8;9;5;5;6;1;5;7
"VERppe PROper VERinf";196;1;5;4;5;4;3;8;6;7;5;0;4;0;7;4;2;12;14;9;14;15;7;7;4;2;4;9;6;7;0;6;2;13
"ADJqua PRE.DETdef NOMcom";195;6;8;8;5;3;6;6;4;4;4;11;2;0;5;3;8;7;6;5;8;7;9;10;6;9;3;11;6;9;3;3;4;6
"ADVgen CONcoo PROper";195;2;4;11;4;4;5;3;11;5;5;8;7;5;11;9;10;7;6;6;3;8;8;5;4;4;4;9;7;9;2;0;6;3
"VERcjg ADVgen VERcjg";195;1;2;2;5;3;1;1;11;5;4;4;13;7;9;9;3;7;9;9;8;5;4;6;9;10;2;5;8;10;7;4;3;9
"VERppe PRE.DETdef NOMcom";195;3;7;8;4;3;4;6;4;8;11;5;9;7;4;7;4;6;10;4;7;7;10;5;6;5;7;5;6;5;6;6;4;2
"ADJqua NOMcom DETpos";194;0;9;5;6;4;6;2;6;11;4;4;4;1;5;4;4;10;6;2;9;4;10;8;3;12;7;9;9;11;4;6;7;2
"ADVgen VERinf PRE";194;4;4;7;7;2;8;2;8;14;8;6;2;3;5;6;7;12;5;2;8;8;3;6;9;7;11;2;4;4;9;2;6;3
"PRE ADVgen PROper";194;2;4;4;3;5;4;3;9;9;2;7;4;3;5;4;9;13;11;2;13;9;11;2;7;10;9;4;6;5;3;6;3;3
"ADVgen ADJqua ADVgen";193;1;3;7;4;1;3;0;2;5;5;9;7;3;10;4;10;6;5;3;4;10;9;3;5;4;4;7;12;12;7;10;7;11
"PRE NOMcom VERppe";193;1;1;7;5;2;2;4;7;16;4;7;5;2;6;10;3;1;10;3;4;4;14;5;9;11;6;3;8;5;16;6;3;3
"VERcjg PROper ADJqua";192;0;9;2;6;3;1;10;8;10;10;7;6;2;7;8;5;11;4;4;4;4;9;9;2;5;6;7;6;11;6;4;4;2
"PRE DETdef ADJqua";190;4;7;11;2;2;6;3;6;5;9;9;2;3;4;5;7;2;13;3;4;8;8;5;8;10;3;7;10;8;2;4;5;5
"PRE.DETdef NOMcom ADVgen";189;2;0;3;8;5;7;2;10;8;9;10;2;4;6;0;10;4;6;6;1;6;2;10;9;9;4;9;10;8;2;3;6;8
"PRE PROper DETdef";189;0;9;9;7;4;6;10;2;5;7;4;5;2;9;3;8;4;8;7;11;4;7;4;4;8;5;4;8;5;8;4;4;4
"PRE VERinf VERppe";189;1;5;9;7;3;9;9;3;2;7;5;7;3;8;5;7;12;11;9;9;5;3;3;6;4;8;4;2;6;6;4;2;5
"ADVgen ADVgen ADVgen";188;2;1;4;4;3;5;1;10;2;14;14;5;7;10;7;4;3;5;5;4;5;12;5;7;7;8;2;10;6;5;4;3;4
"PROadv VERcjg VERinf";188;1;1;4;4;3;6;2;6;3;9;13;10;5;6;3;2;10;8;5;9;15;6;4;5;12;6;3;16;1;1;0;4;5
"PROdem VERcjg DETpos";188;1;3;2;4;4;3;3;10;5;4;5;10;9;13;7;11;7;5;4;9;5;3;1;3;4;11;7;5;7;6;2;6;9
"ADVgen ADVgen ADJqua";186;4;3;5;7;3;3;5;9;12;6;5;7;2;11;7;5;2;3;6;4;13;5;6;5;9;4;6;3;8;6;3;3;6
"NOMcom VERcjg NOMcom";186;2;4;7;9;2;2;4;11;10;8;6;7;1;13;4;4;3;5;7;8;4;6;8;1;12;4;2;2;10;9;4;3;4
"VERcjg ADJqua CONsub";186;3;7;7;14;0;8;6;7;5;8;15;9;3;8;4;3;7;6;3;2;9;3;5;4;9;5;2;8;4;2;4;3;3
"CONcoo PRE DETpos";185;5;9;8;5;1;10;6;6;11;4;11;5;3;2;4;8;3;4;2;6;3;4;2;7;4;8;5;9;7;14;2;4;3
"ADJqua CONcoo PRE";183;4;5;5;8;4;6;7;5;7;1;6;5;1;10;5;6;5;6;7;6;3;3;6;8;7;5;4;7;9;6;7;4;5
"DETdem NOMcom CONcoo";183;1;7;6;5;3;6;6;5;7;4;5;5;2;6;2;8;5;7;4;9;7;11;5;13;6;11;3;3;8;2;3;3;5
"NOMcom VERcjg VERcjg";183;0;1;5;2;2;6;3;5;7;1;4;9;2;5;3;7;9;7;4;5;8;6;10;5;9;4;8;5;11;9;8;3;10
"CONsub PRE DETdef";181;4;3;7;7;0;7;9;5;1;12;7;8;2;8;4;7;3;10;3;4;4;4;8;7;10;11;5;3;4;5;3;3;3
"DETdef NOMcom DETpos";181;2;7;7;11;10;6;6;4;5;3;2;4;0;2;6;8;6;6;6;4;4;5;11;4;9;5;3;7;6;8;8;3;3
"NOMcom CONsub PROind";181;3;2;5;5;3;5;2;5;4;5;19;6;0;10;6;5;10;9;10;4;6;9;5;9;6;8;5;2;1;4;3;3;2
"PRE NOMcom INJ";181;1;2;1;3;2;4;1;10;4;3;4;7;2;8;1;4;4;9;3;6;8;7;7;5;16;8;3;6;11;8;7;5;11
"PROind VERcjg VERinf";180;6;0;1;0;2;7;1;9;8;6;13;5;4;4;7;11;10;6;8;10;8;4;7;10;6;4;3;3;5;5;6;0;1
"DETrel NOMcom PROper";179;1;4;3;1;0;4;2;10;7;8;9;12;2;5;0;7;9;5;5;7;12;6;9;4;9;6;7;7;3;1;4;5;5
"DETdef NOMcom PROdem";178;3;3;5;6;4;5;6;7;4;3;12;8;2;4;6;8;8;9;6;2;5;5;10;6;11;3;3;8;7;2;3;1;3
"PROper PRE PROper";177;1;4;6;5;3;3;7;7;7;7;4;12;3;10;3;6;6;4;2;9;3;7;10;5;8;6;8;5;6;4;4;0;2
"VERcjg ADVneg VERcjg";177;1;5;4;7;1;3;3;9;3;11;4;7;3;4;5;6;9;8;5;6;5;11;7;5;7;10;4;6;5;3;2;5;3
"VERcjg DETdef ADJqua";177;1;4;7;8;8;2;4;1;4;2;12;7;6;7;5;5;5;3;3;7;3;12;3;4;6;2;8;10;6;5;4;5;8
"NOMcom CONcoo PROdem";176;0;5;5;11;1;7;4;8;8;6;9;7;3;7;3;8;3;3;3;8;8;7;7;2;9;5;5;5;5;4;5;2;3
"VERinf ADVgen ADVgen";176;1;2;5;3;3;6;3;7;13;7;4;5;3;3;4;2;6;10;3;2;6;5;6;10;12;12;10;5;5;5;2;1;5
"PROrel ADVneg VERcjg";175;6;1;6;4;0;8;2;5;3;3;6;7;3;5;2;2;9;10;12;9;16;9;5;3;5;5;7;3;3;4;3;4;5
"VERcjg ADVneg ADJqua";175;0;1;5;4;1;8;2;8;5;5;10;13;5;7;2;6;8;4;6;6;5;5;8;5;8;4;5;6;8;3;2;5;5
"VERcjg PROind PROper";175;2;3;3;2;3;3;2;10;3;0;7;2;1;10;7;8;10;8;11;7;10;6;5;6;5;4;4;8;6;6;6;4;3
"CONcoo PRE DETdef";174;3;5;8;5;3;7;5;6;8;6;12;11;3;8;4;0;1;3;4;6;1;7;9;10;3;4;3;7;6;5;5;2;4
"DETpos NOMcom PRE.DETdef";174;1;9;9;7;4;6;14;4;4;4;5;3;0;7;3;10;7;7;7;5;10;2;4;1;6;5;6;2;7;4;6;5;0
"VERcjg PROper DETpos";174;2;4;6;2;3;3;5;5;4;4;2;5;2;5;1;5;7;11;8;12;5;6;3;2;5;10;11;11;5;8;2;4;6
"ADJqua PROdem VERcjg";171;4;5;9;9;5;9;5;8;3;5;11;0;3;10;3;1;7;12;7;4;5;2;2;1;5;6;4;5;6;5;2;3;5
"CONsub DETdem NOMcom";171;0;6;6;4;4;3;5;7;4;4;3;7;1;9;3;5;5;4;2;6;6;5;4;5;13;6;6;9;8;9;6;2;4
"VERcjg DETrel NOMcom";171;0;1;4;3;1;0;1;8;13;4;9;8;1;5;5;7;6;2;4;3;7;11;9;6;8;6;6;7;5;5;7;5;4
"NOMcom NOMcom VERcjg";169;1;4;4;10;7;6;3;11;3;2;9;9;2;10;2;4;5;2;3;4;7;9;7;5;10;9;3;7;1;2;3;3;2
"ADJqua CONcoo ADVgen";168;1;4;4;8;2;2;4;5;8;2;4;5;2;13;1;2;10;6;3;7;7;4;2;4;4;12;9;8;4;6;10;4;1
"ADVgen CONsub DETdef";168;2;5;5;7;4;5;2;4;0;4;11;7;2;8;2;9;13;4;4;6;10;9;6;7;4;0;8;4;2;4;2;8;0
"DETind NOMcom PROper";168;1;6;9;4;0;2;2;3;15;7;7;7;2;6;1;2;6;8;6;3;4;11;4;4;8;9;5;8;3;7;5;1;2
"NOMcom DETndf ADJqua";168;6;2;3;6;5;5;3;4;4;8;3;2;0;3;4;6;4;3;6;7;3;10;8;5;10;7;7;7;3;8;10;1;5
"PRE.DETdef NOMcom DETdef";168;5;4;9;7;4;5;6;3;5;5;12;4;3;3;3;6;7;6;8;5;3;5;6;6;7;5;3;7;4;4;5;1;2
"PRE PROrel PROper";168;0;1;6;5;3;7;1;7;10;6;9;9;3;4;4;3;5;10;8;8;13;12;1;3;4;6;6;2;5;4;1;1;1
"PROadv VERcjg PROind";168;0;1;5;7;3;4;1;8;6;4;10;8;6;3;3;4;6;7;7;9;6;7;5;4;5;7;5;6;6;4;5;3;3
"VERcjg CONcoo VERcjg";168;3;6;12;3;0;10;3;7;11;2;11;11;3;4;3;7;5;6;5;2;6;2;6;2;4;6;3;8;6;5;1;2;3
"ADJqua PRE DETdef";167;7;4;5;11;2;4;8;3;2;7;7;6;4;8;8;4;8;2;6;4;7;6;3;4;1;5;4;4;8;3;6;4;2
"INJ PROdem VERcjg";167;2;1;1;5;4;5;2;5;3;7;2;11;6;12;4;10;6;7;4;3;10;4;5;3;2;4;3;9;6;10;7;2;2
"PRE NOMcom NOMcom";167;0;2;5;3;4;2;1;3;8;1;13;7;0;12;11;10;2;6;5;3;7;6;9;3;9;6;4;5;3;5;4;2;6
"VERcjg PROind VERcjg";167;1;4;1;5;1;3;1;4;9;4;12;6;2;5;4;10;7;9;7;8;12;6;3;11;0;4;0;1;10;7;3;4;3
"VERppe DETdem NOMcom";167;2;3;4;10;3;5;4;3;5;1;5;6;2;2;1;6;10;5;6;7;14;7;3;8;4;7;2;6;3;8;4;6;5
"NOMcom INJ NOMcom";166;0;4;2;4;4;3;3;5;4;1;1;11;2;2;3;4;10;7;2;8;6;5;8;9;13;6;6;11;5;5;3;3;6
"NOMcom NOMcom NOMcom";166;1;1;1;1;0;4;1;5;5;1;13;11;1;9;8;9;2;3;0;1;1;4;11;8;11;11;7;1;6;13;2;6;8
"ADJqua NOMcom INJ";165;2;5;5;3;3;2;0;5;16;2;5;5;8;5;1;7;2;7;4;8;4;4;4;3;9;11;3;11;5;4;4;2;6
"ADVgen CONsub PROind";165;2;2;3;3;3;1;1;5;4;3;13;6;2;14;4;5;11;9;3;5;7;4;2;6;7;12;6;10;3;3;1;1;4
"PRE NOMpro PROper";165;0;4;1;9;1;8;4;8;8;9;2;5;3;6;6;14;5;4;3;2;5;6;4;5;5;6;6;6;5;8;4;1;2
"PROper PROper ADVneg";165;2;4;8;10;2;7;1;7;2;5;4;9;3;7;1;5;6;7;3;5;13;5;7;4;7;5;6;3;4;4;4;2;3
"VERcjg DETndf PROind";165;0;1;4;1;2;0;2;8;6;4;4;2;1;11;2;6;10;14;7;3;6;5;11;3;9;11;5;3;2;10;2;7;3
"VERcjg NOMcom PROper";165;2;2;9;6;5;4;2;10;8;2;9;4;2;5;2;5;6;2;9;5;10;5;3;6;6;3;3;5;6;5;2;2;10
"VERppe ADVgen PRE";165;0;3;5;7;2;4;3;11;13;5;11;6;4;9;5;3;5;3;0;2;5;2;6;5;2;8;9;5;7;4;0;4;7
"ADVgen PRE ADVgen";164;0;2;2;2;0;2;2;17;12;3;7;4;2;12;3;2;6;17;1;3;5;10;8;3;8;3;6;5;3;2;3;4;5
"DETrel NOMcom PRE";164;0;1;1;1;2;1;1;11;11;8;9;8;0;6;3;4;4;5;4;1;6;5;7;9;8;11;5;7;4;3;9;2;7
"NOMcom VERcjg PROdem";164;1;3;5;3;2;3;6;6;2;4;4;6;4;9;5;2;10;10;4;10;12;0;10;1;6;4;5;7;3;5;3;0;9
"PRE NOMcom PROdem";164;1;1;4;6;3;7;1;2;3;2;7;6;7;6;10;4;3;9;4;5;9;11;1;7;5;4;8;8;2;8;3;3;4
"PROrel VERcjg PROper";164;2;7;7;2;3;4;4;2;5;6;7;10;1;5;3;3;9;9;10;6;8;7;7;3;4;4;5;3;8;3;2;3;2
"ADJqua NOMcom NOMcom";163;2;2;6;4;5;3;0;8;11;3;4;11;1;8;6;7;0;1;5;3;4;4;7;5;6;6;7;11;1;8;3;2;9
"CONsub PROdem VERcjg";163;2;0;3;1;0;0;3;8;4;5;8;16;2;10;7;2;11;12;5;2;3;7;2;7;4;5;9;4;5;8;3;2;3
"DETind NOMcom PRE";163;2;2;4;4;2;2;4;7;18;4;5;9;0;5;3;6;4;5;5;5;1;10;5;7;10;9;6;4;6;2;5;1;1
"DETndf NOMcom CONsub";163;0;2;6;6;8;6;4;11;2;2;8;7;1;2;3;2;7;13;5;4;10;8;5;5;6;6;10;2;5;3;2;0;2
"VERcjg DETind NOMcom";163;1;3;5;3;1;0;0;2;17;7;9;9;3;7;0;2;10;5;3;4;5;6;6;8;4;7;9;8;5;4;4;3;3
"ADJqua NOMcom PROdem";162;0;3;3;2;3;4;3;6;3;7;7;5;6;6;4;3;6;6;9;6;1;9;5;0;6;10;4;9;9;6;3;5;3
"DETpos NOMcom PROind";162;0;5;2;3;2;4;3;5;11;7;3;6;2;6;1;6;12;4;7;5;7;7;3;4;3;4;5;6;9;5;7;7;1
"INJ PROper PROper";162;1;4;2;4;4;6;2;5;7;3;1;3;4;7;1;3;8;7;7;7;4;8;7;4;9;2;3;10;8;10;3;2;6
"PROrel VERcjg ADVgen";162;3;5;7;3;2;1;3;2;5;5;7;6;4;5;3;3;9;6;3;5;4;6;9;7;3;8;4;11;8;4;4;4;3
"PROrel VERcjg VERinf";162;2;3;6;4;1;4;5;7;3;3;5;4;2;6;6;2;10;7;0;9;9;6;9;3;7;9;5;7;3;5;3;5;2
"CONsub PRE VERinf";161;5;3;8;2;2;6;3;9;2;6;9;9;0;3;2;3;6;4;3;5;6;12;3;10;8;7;3;3;4;4;5;2;4
"PROimp VERcjg VERinf";161;1;0;8;3;2;2;2;7;15;7;8;5;5;6;3;3;5;7;3;3;8;4;3;6;4;10;2;2;10;4;2;6;5
"PROper PRE VERinf";161;0;4;6;4;0;5;4;4;3;7;12;10;2;5;5;4;4;9;1;5;8;4;7;2;2;7;5;8;5;1;7;8;3
"ADVneg DETpos NOMcom";160;1;13;5;4;3;3;3;7;2;5;4;5;0;2;5;7;3;7;1;6;11;5;3;4;8;5;3;7;5;9;6;2;6
"CONcoo PROper VERinf";158;5;5;8;8;2;1;4;6;4;2;4;4;1;1;3;2;13;4;3;5;8;7;3;10;6;15;10;2;2;3;4;1;2
"VERcjg ADVneg VERinf";158;0;0;2;1;2;0;6;3;9;4;6;7;1;6;3;6;13;8;5;8;13;8;7;5;8;4;3;5;6;3;1;1;4
"VERcjg VERcjg ADVgen";158;1;0;3;7;6;4;0;6;6;1;5;7;5;2;4;12;7;5;5;7;6;6;5;8;3;3;6;7;6;3;6;2;4
"VERcjg VERppe VERcjg";158;1;2;5;4;1;6;3;7;11;7;9;12;3;1;5;3;13;6;5;7;7;1;4;3;0;5;5;3;6;7;3;2;1
"CONcoo ADVneg VERcjg";157;2;9;11;6;1;4;3;2;8;6;5;4;0;1;0;1;4;11;2;5;6;7;11;3;9;7;8;3;6;0;2;5;5
"DETdef PROind PROper";157;3;2;2;3;1;3;4;4;0;3;11;4;0;9;3;8;11;7;5;6;9;7;3;6;8;9;5;4;4;5;2;2;4
"DETndf NOMcom DETndf";157;4;1;0;2;0;3;2;8;8;4;9;3;2;4;4;2;4;10;2;6;8;3;4;2;8;9;7;11;5;8;4;5;5
"PRE ADVgen ADVgen";157;1;5;3;5;2;4;2;10;9;3;6;11;1;13;2;2;5;9;2;4;8;7;2;4;3;6;7;3;3;5;4;3;3
"PRE NOMcom DETndf";157;1;2;2;0;9;3;1;6;2;3;1;2;2;4;7;7;2;7;5;4;3;4;12;9;12;11;5;7;4;7;8;4;1
"PRE NOMcom PROrel";157;3;8;8;3;1;3;4;1;3;4;12;6;1;2;2;0;2;13;4;3;1;9;1;10;16;8;7;4;6;3;3;3;3
"PROper VERinf PRE.DETdef";156;1;8;4;3;4;7;10;3;6;4;2;6;1;3;2;5;6;7;6;8;6;2;3;7;5;3;7;8;6;5;2;5;1
"PROrel VERcjg DETpos";156;7;12;7;5;2;3;13;0;1;5;1;2;0;7;3;3;2;6;3;6;3;6;3;11;7;9;6;3;3;7;3;3;4
"VERcjg PRE NOMpro";156;0;13;3;6;2;3;3;2;7;8;4;8;4;6;4;5;0;4;5;1;7;1;9;2;9;3;11;1;3;9;6;3;4
"VERcjg PROper DETdef";156;0;5;3;3;3;8;7;7;1;4;6;7;2;6;2;6;10;6;6;9;7;2;8;1;4;4;4;4;5;6;4;1;5
"ADVgen VERppe CONsub";155;1;1;7;2;2;4;0;6;7;4;9;5;6;4;4;1;6;9;1;11;4;12;6;4;3;7;6;4;3;3;4;5;4
"DETdef NOMcom DETndf";155;6;4;3;7;3;4;4;3;4;3;5;2;2;5;1;6;3;6;4;4;2;9;4;11;8;7;11;5;4;0;5;4;6
"NOMcom CONcoo ADVneg";155;1;4;8;6;1;8;3;2;3;6;10;6;1;3;2;0;5;10;4;6;8;6;6;8;9;9;7;2;6;1;2;2;0
"NOMcom VERppe PROper";155;1;5;5;8;3;4;2;7;6;5;2;2;0;5;7;6;4;4;2;2;0;8;7;7;13;6;6;10;3;6;3;2;4
"PRE.DETdef NOMcom ADJqua";155;11;5;4;3;2;2;8;1;7;3;8;4;1;6;2;3;1;2;6;1;4;7;6;7;4;0;6;9;9;8;3;5;7
"PROper PRE DETpos";155;0;3;3;3;1;6;6;5;7;5;4;2;1;7;4;5;6;8;6;9;2;4;9;3;3;8;1;5;6;7;8;3;5
"PROrel VERcjg DETdef";155;8;4;6;6;3;9;12;3;6;5;14;3;2;9;3;0;2;3;3;6;7;5;1;6;4;6;4;4;3;3;3;0;2
"VERcjg VERcjg PRE";155;0;5;5;7;1;6;5;6;4;4;4;7;1;5;2;7;10;5;2;5;7;8;8;3;6;2;2;3;11;6;4;3;1
"PRE NOMcom PRE.DETdef";154;3;3;6;3;3;3;0;3;4;5;14;6;3;5;5;1;6;8;2;5;6;3;9;10;6;4;6;3;3;3;5;3;5
"VERinf ADVgen PROper";154;5;1;3;2;1;5;2;8;7;8;8;9;2;6;1;4;6;7;7;2;8;10;3;5;4;2;7;5;6;4;1;3;2
"VERcjg VERinf CONsub";153;1;6;6;0;0;2;5;7;2;5;14;11;3;3;7;4;5;7;3;2;7;4;5;6;4;4;6;4;5;5;3;1;6
"PRE PROper VERppa";151;2;5;1;4;1;5;7;4;6;11;2;4;2;15;4;8;9;4;2;5;3;11;2;2;2;4;2;6;6;3;5;0;4
"PROint PROper VERcjg";151;3;0;4;2;1;4;2;2;1;2;4;7;2;6;5;1;8;13;10;11;13;6;4;1;8;5;3;2;5;3;4;3;6
"ADVneg PROper ADVneg";150;0;7;5;2;1;8;3;1;3;8;3;6;3;7;4;1;5;6;4;8;9;1;7;1;9;4;4;3;8;5;3;1;10
"NOMcom PRE PROrel";150;1;2;11;3;0;4;1;3;6;3;11;1;1;6;4;1;7;5;11;6;7;6;1;6;3;6;5;2;9;8;4;4;2
"PROper VERinf INJ";150;2;0;6;7;2;5;5;5;5;2;2;10;2;4;3;8;8;6;4;10;10;5;4;3;7;1;2;1;8;5;3;0;5
"VERcjg ADVneg NOMcom";150;2;1;8;1;1;5;2;3;3;3;5;8;1;7;7;4;8;6;6;5;5;6;10;4;12;10;6;2;3;3;1;2;0
"VERcjg VERinf CONcoo";150;4;6;7;3;4;5;3;8;6;6;8;8;2;3;0;3;7;3;10;3;11;3;2;5;3;10;4;3;3;4;1;1;1
"VERppe DETndf NOMcom";150;4;0;5;5;5;4;0;2;4;2;2;4;3;6;4;3;12;7;5;4;13;8;3;7;4;5;6;5;7;5;4;1;1
"VERppe PROper ADVneg";150;0;4;8;7;3;4;2;7;5;9;4;5;4;4;2;1;7;5;2;7;5;4;5;1;8;3;5;5;9;6;3;2;4
"DETpos NOMcom NOMpro";149;3;2;5;4;1;6;0;5;15;9;7;5;0;4;1;8;2;3;3;1;12;3;9;2;4;5;6;5;10;1;3;4;1
"NOMcom VERinf PRE";149;4;3;8;4;2;5;5;5;5;4;2;2;6;2;3;3;1;4;2;5;4;8;4;13;5;10;5;6;4;7;4;3;1
"PRE DETind DETdef";149;6;0;14;6;3;2;8;4;3;10;8;3;1;1;1;1;4;6;6;3;6;2;0;6;8;5;4;13;6;2;4;1;2
"VERcjg CONcoo CONsub";149;3;3;7;1;3;6;6;6;5;7;10;5;6;4;4;1;5;6;0;6;6;5;2;5;6;5;5;4;4;11;1;1;0
"VERppe CONcoo PROper";149;1;4;9;7;3;5;3;7;2;6;4;4;6;9;5;0;3;3;1;6;6;2;8;4;1;4;4;5;7;6;4;3;7
"CONcoo VERcjg PRE";148;5;2;9;8;4;8;5;7;13;3;6;5;0;0;1;5;1;6;6;4;0;6;8;2;6;6;2;3;5;5;3;2;2
"NOMcom PROimp VERcjg";148;0;0;4;5;1;5;0;6;15;8;4;3;1;5;3;7;3;2;5;7;9;1;3;4;5;1;5;9;5;5;8;4;5
"CONsub PROimp PROper";147;0;0;2;3;0;3;0;5;1;6;7;5;1;6;2;2;6;7;1;3;2;15;11;10;10;15;4;3;7;3;3;2;2
"CONsub PROimp VERcjg";147;2;5;7;6;2;10;5;8;4;5;7;11;1;3;2;2;5;1;1;6;2;3;5;5;6;7;3;0;4;8;3;2;6
"NOMcom DETpos ADJqua";146;2;3;2;3;8;2;4;11;7;2;6;6;1;5;2;4;0;4;3;3;2;2;3;6;1;2;3;10;16;7;6;6;4
"PRE ADVgen ADJqua";146;1;4;2;1;2;3;2;7;10;3;7;8;1;4;2;3;3;8;6;3;8;5;8;4;2;7;9;5;8;7;0;2;1
"PROper ADVgen PRE";146;0;3;4;0;2;4;1;7;7;6;7;4;3;4;1;10;10;6;3;5;5;4;7;4;2;0;4;3;9;8;3;5;5
"VERcjg ADVneg CONsub";146;2;2;4;3;3;3;0;4;3;7;4;7;2;1;3;3;3;10;7;11;8;7;7;2;7;4;7;3;5;5;3;3;3
"VERinf DETndf ADJqua";146;1;2;6;4;2;5;4;6;3;11;5;2;1;4;1;2;6;9;5;5;5;2;6;6;11;7;3;9;7;0;0;2;4
"DETdef NOMcom PROind";145;2;2;4;8;1;5;6;4;6;2;9;1;1;7;3;4;4;5;6;5;7;7;5;8;7;5;3;3;4;5;3;2;1
"NOMcom PRE ADJqua";145;1;0;3;5;0;5;1;5;8;3;5;2;5;4;4;5;1;3;3;0;2;6;5;11;7;20;8;9;3;4;1;3;3
"NOMcom PROrel PRE";145;2;5;3;2;2;2;10;7;12;8;10;4;1;3;0;1;2;2;3;2;1;5;4;6;10;6;5;4;9;7;1;3;3
"ADVgen PROper PROadv";144;0;1;9;6;7;1;4;5;2;9;12;6;3;3;1;6;2;8;2;7;2;5;4;3;3;6;5;6;2;4;4;2;4
"ADVgen VERppe CONcoo";144;4;2;12;6;1;4;1;8;6;1;5;6;1;6;5;1;1;5;1;3;2;3;6;3;4;7;9;4;9;10;0;3;5
