"frpos";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"NOMcom PROper PROper";1650;11;33;55;68;35;48;28;77;63;49;40;78;19;75;33;71;71;50;37;48;61;45;54;32;57;70;62;52;59;47;34;33;55
"PRE DETdem NOMcom";1648;21;55;55;57;40;64;71;43;46;66;64;57;7;40;26;31;47;49;28;49;51;90;61;78;75;71;64;46;48;57;28;32;31
"VERcjg DETndf NOMcom";1630;20;36;72;47;54;50;37;67;43;46;42;47;18;49;35;43;70;63;62;51;65;55;55;53;60;45;44;72;61;59;28;25;56
"NOMcom PRE.DETdef NOMcom";1560;38;37;54;56;31;30;51;45;41;40;95;40;24;54;29;48;37;49;33;59;57;49;56;53;63;58;64;56;54;50;45;37;27
"NOMcom VERcjg PROper";1559;10;44;54;39;28;39;41;54;29;51;59;56;20;45;32;41;68;58;41;66;73;55;63;51;58;54;35;48;64;55;30;42;56
"VERcjg PRE PROper";1543;10;55;78;64;31;56;50;63;61;60;56;56;16;55;28;56;73;49;45;72;61;43;48;26;42;31;39;49;55;30;29;19;37
"NOMcom DETpos NOMcom";1542;3;61;55;55;43;60;40;57;83;27;36;33;15;45;30;43;57;52;35;42;38;48;69;23;75;51;47;57;52;80;48;38;44
"ADVgen PROper VERcjg";1514;8;18;47;42;25;28;18;77;61;39;50;57;38;65;44;57;51;59;33;37;48;58;61;51;62;53;54;61;60;59;37;28;28
"CONcoo PROper VERcjg";1501;16;48;95;48;37;56;33;57;36;37;52;56;18;47;32;60;54;29;32;40;39;39;77;38;48;65;57;52;73;37;31;27;35
"VERcjg PRE NOMcom";1501;16;29;54;63;38;51;29;53;57;39;55;52;16;62;46;47;49;69;46;47;49;35;55;51;53;47;40;47;63;51;37;26;29
"VERinf DETpos NOMcom";1480;9;69;66;57;37;63;64;40;34;51;32;32;15;34;29;41;61;63;50;59;42;47;74;37;58;61;58;32;37;47;28;27;26
"DETpos NOMcom CONcoo";1440;9;68;66;45;22;50;59;42;52;38;34;34;16;29;23;37;55;62;40;62;33;50;64;36;43;63;64;57;46;60;24;37;20
"DETndf NOMcom ADJqua";1433;32;50;70;45;38;51;66;26;34;36;39;19;11;55;20;30;61;65;61;60;63;58;40;30;51;58;39;59;37;43;33;14;39
