"frlemma";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"détour";18;1;1;1;0;2;2;2;0;0;0;0;0;0;0;0;0;1;2;2;0;0;1;0;0;1;0;1;0;0;0;1;0;0
"étonné";18;0;0;2;1;1;1;0;1;1;1;2;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;1;2;0;0;1;0
"étrange";18;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;1;1;2;1;0;1;0;0;0;1;1;0;0
"fâcheux";18;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;2;3;1;0;0;0;1;1;4;0;0;2;0;0;0;0;0
"faux";18;0;0;1;0;0;1;0;0;1;0;0;0;0;2;3;1;0;3;2;1;1;0;1;1;0;0;0;0;0;0;0;0;0
"feindre";18;0;0;1;1;1;0;0;0;0;0;0;2;1;1;0;3;1;0;0;1;2;0;0;0;2;0;1;0;0;0;1;0;0
"fer";18;0;0;0;0;0;1;6;0;0;1;0;0;0;0;0;0;0;0;2;1;1;0;0;0;3;0;1;0;0;1;0;0;1
"former";18;1;0;2;0;0;2;0;0;1;0;0;0;0;0;1;0;0;1;0;2;2;0;1;0;1;1;0;0;2;0;1;0;0
"fuite";18;0;0;0;0;0;0;1;0;0;4;0;1;0;1;0;0;5;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0
"génie";18;4;0;1;4;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0
"guérir";18;0;1;0;6;0;0;0;0;0;1;1;0;0;2;0;0;2;0;1;0;1;0;1;2;0;0;0;0;0;0;0;0;0
"indifférence";18;1;0;1;0;0;0;1;0;0;1;1;0;0;2;0;0;2;1;1;0;2;1;0;0;0;0;2;0;0;0;1;0;1
"intention";18;0;0;0;0;0;0;0;1;5;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;4;1;2;0;0;1;0;0
"léger";18;0;0;1;0;0;2;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;4;0;0;2;1;1;0;2;0
"médecin";18;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;3;0;0;0;0;0;0;0
"mois";18;0;0;1;1;0;0;0;1;1;0;1;2;0;0;0;0;0;2;0;0;1;0;1;1;2;3;0;0;1;0;0;0;0
"obscur";18;0;0;1;1;0;0;2;0;0;0;1;1;0;0;1;2;1;0;1;0;0;2;0;0;0;0;1;0;2;0;1;0;1
"payer";18;0;0;3;0;1;1;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;1;1;0;2;0;2;0;0;1
"pays";18;0;2;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;5;0;1;2;0;2;0;2;0;0;0;0
"philosophie";18;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;11;0;0;0;0;0;3;1;0;0;0;0
"posséder";18;1;0;0;1;0;0;1;1;0;0;1;3;0;1;0;0;1;0;0;0;0;1;0;2;1;1;2;1;0;0;0;0;0
"redoubler";18;0;1;0;1;2;0;0;0;0;0;0;0;0;2;1;1;0;1;0;0;2;0;0;2;1;0;0;0;0;2;1;0;1
"regarder";18;0;0;0;1;0;1;1;0;0;3;2;3;0;0;1;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0
"réparer";18;0;0;0;2;0;1;1;0;0;1;0;1;0;0;1;0;1;0;0;1;1;0;0;0;1;1;0;1;2;0;0;0;3
"sembler";18;0;0;0;0;0;0;0;1;1;1;0;4;0;0;1;0;1;4;0;1;1;0;0;1;0;0;0;2;0;0;0;0;0
"signer";18;0;0;0;0;0;0;0;0;3;0;0;0;2;0;1;0;0;0;0;1;0;0;1;0;0;4;0;1;1;1;0;3;0
"valoir";18;0;0;1;1;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;3;0;2;0;1;1;1;1;0;1;0;0;1
"voix";18;0;2;0;0;0;0;2;2;0;0;0;0;0;0;1;1;1;1;0;0;0;2;1;0;0;2;1;0;2;0;0;0;0
"affliger";17;0;1;2;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;3;3;1;2;0;0
"aider";17;1;2;0;2;1;0;0;0;0;0;0;1;0;1;0;0;3;0;2;1;0;0;0;0;1;0;0;0;1;1;0;0;0
"artifice";17;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;2;0;1;0;0;0;0;3;0;1;2;0;3;0;0;0;0;1
"ce";17;0;0;0;0;0;0;0;2;0;1;2;4;0;0;1;1;2;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1
"combat";17;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;1;0;3;2;0;0;0;0;0;0;0;2
"délicat";17;0;0;0;1;1;3;0;1;0;0;0;0;0;2;1;0;0;1;0;1;1;1;0;1;0;0;0;0;1;0;0;1;1
"descendre";17;0;1;3;0;0;0;0;1;2;2;2;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
"désormais";17;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;2;0;2;1;0;0;0;4;1;0;0;1
"déterminer";17;0;1;0;0;0;1;0;4;1;0;1;0;0;0;1;0;1;0;1;2;2;1;0;0;0;0;0;0;0;1;0;0;0
"dette";17;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;3;1;0;0;0;1;1;0;3;3;1;0;0;0;0;0;1
"distraire";17;0;0;1;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9;0;2;0;0;0;0;0;0;0;0
"domestique";17;0;2;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;1;0;1;0;1;4;1;0;0
"égard";17;1;0;2;0;2;1;0;0;0;0;1;0;3;0;0;0;0;1;1;0;3;0;0;0;0;1;0;0;0;0;0;0;1
"employer";17;0;0;0;1;2;2;2;0;0;1;0;0;0;0;0;0;1;1;0;1;0;3;0;2;0;1;0;0;0;0;0;0;0
"éprendre";17;0;2;1;0;1;0;0;1;2;1;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;2;0;0;0
"étranger";17;0;3;2;3;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3;0;2;0;0;0;0;0;0;0;0;1;0;0
"extravagance";17;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;2;3;3;2;0;0;1
"fenêtre";17;0;0;0;0;0;0;2;1;1;0;1;2;0;1;0;0;0;0;0;0;1;0;0;4;0;2;0;0;0;0;0;2;0
"guide";17;0;1;1;0;0;3;0;1;0;0;1;2;0;1;0;0;0;0;1;0;0;1;0;0;2;0;1;1;0;0;0;0;1
"habit";17;0;0;1;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;3;2;0;0;1;2;1;0;0;1;0;0;1
"héritage";17;0;0;0;0;0;0;1;1;0;0;1;0;0;2;0;1;2;2;0;2;0;0;0;0;0;1;0;2;0;1;0;1;0
"inconnu";17;0;0;1;2;0;0;0;2;0;0;0;0;0;0;0;1;0;2;0;0;0;2;0;0;1;0;1;1;0;1;0;1;2
"informer";17;0;1;1;2;2;2;0;0;0;2;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
"leçon";17;0;0;1;0;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;2;1;0;1;2;0;0;1;1;1;1;0;0
"louer";17;0;0;1;0;0;0;0;0;1;0;1;2;0;3;0;0;1;0;1;0;0;1;2;1;0;0;0;0;0;1;2;0;0
"lumière";17;0;0;2;1;0;1;5;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;2;0;0
"meilleur";17;0;0;0;1;1;2;0;0;1;0;1;1;0;0;0;0;0;0;0;1;2;1;1;0;0;2;2;0;0;0;0;0;1
"mêler";17;0;0;0;0;0;1;0;3;2;2;0;0;0;2;0;0;1;3;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
"modèle";17;0;1;2;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;1;3;0;0;1;0;0;0;1;0;3;1;0
"nécessité";17;0;1;0;1;0;0;0;2;1;0;1;0;0;0;0;0;3;0;2;3;1;0;0;0;1;1;0;0;0;0;0;0;0
"neveu";17;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;9;0;0;0;0;3;0;0
"pourtant";17;0;0;0;0;0;0;0;3;0;1;1;1;1;1;0;3;0;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0
"près";17;0;0;1;2;1;1;0;1;2;0;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;2;0;0;0
"profiter";17;0;2;2;0;0;1;0;3;1;1;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"réflexion";17;0;0;0;0;0;1;0;2;0;0;0;2;0;1;0;2;0;1;2;0;1;0;0;0;2;0;1;1;1;0;0;0;0
"respect";17;0;1;0;0;0;0;1;1;1;0;0;0;1;0;1;1;0;4;1;0;0;0;0;0;1;0;0;0;4;0;0;0;0
"rester";17;0;0;1;0;2;0;0;0;1;1;0;2;0;0;0;1;1;2;0;0;1;0;0;1;0;0;0;0;3;0;0;0;1
"revoir";17;0;0;1;0;0;1;0;3;1;1;0;0;0;1;0;1;0;2;2;0;0;0;0;0;0;0;1;0;0;0;1;1;1
"rougir";17;0;2;2;3;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;3
"ruiner";17;0;1;0;0;0;0;0;1;1;0;2;0;0;0;0;0;6;0;0;0;0;1;0;0;1;0;0;0;0;1;0;2;1
"séparer";17;0;4;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;2;3;0;0;0;0;1;0;0;0;1;0;0;0;1
"somme";17;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0;0;1;0;0;0;0;1;1;2;5;2;0;0;0;0;0
"soupçonner";17;0;0;0;0;0;0;0;1;3;0;0;0;0;0;2;2;2;1;0;1;3;0;1;0;0;0;0;0;0;0;0;0;1
"supplice";17;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;2;1;0;2;3;0;1;0;0;0;0;0;0;1;0;0;1
"terrible";17;0;2;2;2;0;0;3;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;2;0;0;1;0;0;0;0
"troubler";17;0;1;0;0;1;1;0;2;0;2;0;1;0;1;2;0;0;0;0;0;1;0;0;0;0;2;1;1;0;0;0;0;1
"unique";17;2;0;0;1;1;0;4;0;0;0;0;0;0;0;0;1;1;3;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0
"utile";17;0;0;0;3;0;0;0;0;1;0;1;1;0;1;0;0;2;0;1;1;0;0;0;0;0;0;1;4;0;0;1;0;0
"vice";17;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;1;0;1;1;0;0;0;1;1;0;0;3;2;0;0
"vin";17;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;3;1;1;0;2;2;4;0;0;0;0;0
"vivant";17;0;0;1;2;0;0;0;0;0;0;0;0;0;3;1;0;0;1;3;0;0;0;1;1;0;1;1;0;0;1;0;1;0
"annoncer";16;0;0;0;0;0;3;0;1;0;0;0;0;0;2;1;0;1;1;1;1;1;0;0;0;0;2;0;1;0;0;1;0;0
"audience";16;0;0;0;0;0;0;0;0;0;0;7;0;0;2;1;0;1;1;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0
"concevoir";16;0;1;1;0;0;1;0;2;1;0;0;1;0;1;0;1;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;1
"confier";16;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;1;1;0;2;2;0;0;1;0;0;0;3;0;1;0;0;1
"convaincre";16;1;0;0;0;0;3;2;0;0;0;0;1;0;0;2;1;0;0;0;1;1;0;0;0;0;1;0;0;2;0;1;0;0
"cruauté";16;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;1;0;1;2;0;0;0;0;1;1;0;0;0;0;1;2
"dépense";16;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;2;0;0;0;2;0;1;0;1;1;0;0;0;0;0;5;0
"diamant";16;0;0;0;0;0;1;0;4;0;3;1;0;0;0;0;0;3;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"enfance";16;0;1;1;0;0;0;2;0;0;0;1;1;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;3;0;0;2
"enlever";16;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;4;1;0;0;2;4;0;0;0;1
"équipage";16;1;0;0;1;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;4
"galant";16;1;0;0;0;1;1;0;0;0;2;0;0;0;0;1;2;0;0;1;0;0;0;1;1;0;0;0;0;2;1;0;0;2
"gêne";16;0;0;4;0;0;1;0;0;1;2;0;1;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"joue";16;1;0;1;0;0;2;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;1;2;0;1;0;3;0;0;0;1;0
"là-dessus";16;0;0;1;0;0;0;0;0;2;1;2;2;0;0;1;0;2;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;0
"légataire";16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;3;0;0;0;0;0
"montrer";16;0;0;0;0;1;1;1;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0;1;0;1;1;0;3;0;1;0;0;0
"ôter";16;1;0;0;1;0;0;0;0;0;2;4;0;0;0;0;0;0;1;0;1;2;1;0;0;0;0;0;1;0;2;0;0;0
"parjure";16;0;0;0;0;0;2;0;0;0;1;0;0;0;1;1;0;2;0;0;2;5;0;0;0;1;0;0;1;0;0;0;0;0
"paternel";16;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;1;0;0;1;4;0;1;1
"précieux";16;1;0;1;0;1;2;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;2;1;0;0;1
"prévoir";16;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;3;2;1;3;1;0;0;0;0;0;1;0;0;0;0;0;2
"projeter";16;0;0;0;0;0;0;0;2;4;1;0;0;0;0;0;1;1;2;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0
"public";16;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;2;2;1;0;0;0;0;1;1;1;0;0;0;2;0;0
"question";16;0;0;0;0;1;2;0;2;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;3;0;0;1;0;1;0;0;1;0
"rencontrer";16;0;1;1;2;0;0;0;1;1;0;0;0;0;0;0;0;1;2;0;2;0;0;1;0;1;0;1;0;1;1;0;0;0
"repos";16;1;1;0;1;0;3;2;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;1;0;0;1;0;0;0
"respectable";16;0;2;1;2;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;3
"richesse";16;0;1;0;0;0;0;1;0;0;1;1;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0;1;2;0;1;0;0
"sensé";16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;2;0;1;1;0;1;0;0;0;0;0;0;2;1;0;1;0;1
"souffrir";16;0;0;0;0;0;1;2;0;0;1;0;0;0;0;1;0;1;0;1;0;1;2;1;0;0;1;0;1;1;2;0;0;0
"téméraire";16;0;0;1;0;0;0;0;0;0;3;1;1;1;0;0;0;2;0;2;0;2;0;0;0;1;0;1;0;0;1;0;0;0
"tôt";16;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;2;3;0;2;0;1;0;1;0;0;1;0
"transporter";16;0;1;0;2;0;0;1;0;0;1;1;0;1;2;0;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;1;0;0
"trépas";16;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;2;1;0;0;0;0;1;5;0;0;1;1;0;0;0
"volage";16;1;0;0;0;1;3;0;0;0;2;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;1;0
"accomplir";15;3;1;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;2;0;0;0;1;0
"ailleurs";15;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;3;0;1;3;0;0;0;1;0;1;4;0;0;0;0;0
"après";15;0;2;0;1;1;0;0;0;0;0;0;1;0;1;2;3;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"attendrir";15;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;0;0;1;2;0;0;2
"audace";15;0;1;0;1;0;2;0;1;0;0;1;0;1;0;0;0;0;1;2;1;0;1;1;1;0;0;0;0;0;1;0;0;0
"avancer";15;0;0;1;0;0;1;0;0;0;2;0;1;0;0;0;0;0;1;0;1;3;2;1;0;0;0;0;1;0;0;0;0;1
"battre";15;0;0;0;2;0;0;0;0;1;1;0;4;0;0;0;0;2;0;0;0;1;0;0;0;0;0;2;1;0;1;0;0;0
"bienséance";15;0;0;2;0;0;2;0;0;0;1;1;2;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
"bizarre";15;0;0;0;2;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;2;1;0;1;1;0;0;1;0
"cependant";15;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;2;1;0;1;1;0;2;0;2;0;0;0;1;0;0
"combattre";15;0;1;0;0;0;0;2;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;2;0;0;1;0;1;1;0;1;0
"constance";15;1;1;0;3;0;0;1;1;0;2;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0
"dépendre";15;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;2;1;0;1;4;1;0;0;0;0;0;0;0;0;0;2;0;0
"deviner";15;0;0;1;0;0;0;0;1;2;0;0;1;0;0;0;1;3;1;2;1;0;0;0;0;0;0;0;0;1;0;1;0;0
"disgrâce";15;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;2;0;2;1;0;0;0;0;0;0;3;0;1
"enchanteur";15;1;1;0;2;1;0;1;1;0;1;3;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0
"éperdu";15;0;1;1;0;0;0;0;0;1;1;0;2;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;3;2;0;0;1
"excuse";15;0;0;0;2;0;3;0;0;0;0;0;1;1;1;1;1;0;0;0;2;1;0;1;0;0;0;0;0;0;0;1;0;0
"exécuter";15;0;0;1;1;1;1;0;2;2;1;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"exposer";15;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;2;2;0;0;0;0;0;1;0;1;3;0;0
"faute";15;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;1;0;0;2;0;1;0;0;1;0;4;0;0;0
"haleine";15;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;2;1;0;2;2;0;0;0
"impatient";15;0;1;3;1;0;0;0;0;0;0;2;1;0;2;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2
"imposer";15;0;0;0;1;0;1;0;0;1;0;0;0;0;3;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;2;0;1
"injustice";15;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;2;0;1;0;0;0;0;0;3
"interdire";15;1;2;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;2;1;1;0;0;0;0;0
"mentir";15;1;0;0;0;2;0;0;1;0;1;3;1;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0
"mesure";15;0;0;0;0;1;1;0;2;0;0;0;3;0;0;0;2;2;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0
"obtenir";15;0;0;1;1;0;0;3;1;0;0;0;1;0;0;0;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"office";15;0;0;1;0;0;1;0;0;0;2;2;1;0;0;0;0;3;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0
"offrir";15;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;3;0;1;1;0;2;0;1;0;1;0;0;1;1;0;0;0
"opposer";15;0;0;1;0;0;0;0;2;1;0;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;3;0;1;0;0
"perfidie";15;0;0;0;2;0;1;0;1;0;0;0;2;0;0;0;0;1;0;0;1;1;1;2;0;1;1;1;0;0;0;0;0;0
"politique";15;0;1;1;0;0;0;1;1;0;0;0;0;0;2;1;3;2;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0
"poursuivre";15;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;3;0;0;0;1;2;0;0;0;1;0;0;1;2;0;0;1
"présager";15;0;0;2;1;0;1;0;0;0;1;2;1;1;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0
"prononcer";15;0;0;2;0;1;1;0;0;0;0;1;0;0;1;2;0;0;1;1;1;2;0;1;0;0;1;0;0;0;0;0;0;0
"reproche";15;0;0;2;0;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;2;0;1;0;0;0;0
"résistance";15;0;1;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;3;1;0;2;0;0;1;0;1;1;0;0;0;0;0;0
"révérer";15;1;1;3;1;1;1;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"rue";15;0;0;0;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;2;0;0;2;2;1;0;1;0;1;0
"sacrifice";15;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;3;2;0;4;1;0;0;0;0;0;0;0;1;1;0;0;0
"sérieux";15;0;0;2;0;0;1;0;2;1;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0
"seul";15;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;2;1;2;0;0;0;0;0;0;1;2;0;1;1
"si";15;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;3;2;0;0;0;1;1;0;0
"souscrire";15;0;1;0;0;0;1;2;2;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;2
"succès";15;0;1;1;2;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;2;0;1;1;0;0;1;2;0;0;0;0;0
"tendrement";15;0;0;0;1;3;0;0;2;0;5;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"trop";15;0;0;2;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;2;1;1;1;0;0;0;1;0;2;0;1;0;0;0
"volontiers";15;0;0;0;0;0;1;0;2;2;0;0;3;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1
"agrément";14;1;0;1;1;3;0;0;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0
"autoriser";14;0;0;0;0;0;0;1;1;3;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0
"baron";14;0;0;6;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bonjour";14;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;2;2;0;2;0;0;0;1
"condamner";14;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;2;1;1;0;0
"considérer";14;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;4;1;0;0;0;1
"cuisine";14;0;0;0;0;0;0;0;1;2;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1
"défier";14;0;0;0;0;0;1;0;0;2;1;0;2;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;1;1;1;1;0;0
"demain";14;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;2;2;0;1;2;0;1;0;0;1
"dernier";14;0;1;2;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;3;0;0;1;1;0;1;0
"déshonorer";14;0;1;0;0;0;0;0;2;0;0;1;1;0;0;0;0;1;1;3;1;0;0;0;0;0;0;0;0;0;2;1;0;0
"dispense";14;0;0;1;1;0;0;0;0;1;2;3;0;0;3;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"échapper";14;1;0;2;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;1;0;1
"égal";14;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;2;0;2;0;0;0;0;0;1;1;0;0;0
"égarer";14;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;1;0;1;0;2;0;0;1
"entretenir";14;0;1;1;0;0;0;0;3;1;1;0;2;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0
"épouse";14;0;1;1;0;0;1;0;0;0;0;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;0;0
