"frlemma";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"penser";144;0;1;5;0;1;5;3;6;7;6;8;15;4;10;4;7;7;4;1;4;7;4;1;5;3;2;1;2;6;6;3;2;4
"attendre";142;0;0;7;2;4;4;2;8;10;7;6;11;1;6;2;7;4;3;3;1;8;3;5;3;3;7;5;5;4;1;0;2;8
"fille";140;0;5;3;5;1;0;0;8;5;2;0;6;5;4;0;2;0;17;2;4;0;7;13;5;2;5;3;7;12;4;0;9;4
"parler";139;0;7;2;1;5;1;5;15;5;2;4;7;3;4;2;5;4;2;2;4;6;5;6;4;4;4;4;5;6;9;2;0;4
"nouveau";138;2;3;8;9;1;3;1;3;6;3;6;0;2;2;1;1;8;7;7;1;5;8;3;9;3;8;9;1;3;5;5;2;3
"connaître";137;2;5;6;5;1;5;3;7;13;6;2;5;0;6;5;1;4;6;2;4;2;6;2;1;5;5;7;3;5;7;1;3;2
"esprit";137;4;5;6;12;2;3;2;3;3;3;2;3;2;8;3;2;2;4;2;5;3;2;14;8;1;4;10;6;4;4;4;0;1
"non";137;0;0;3;1;2;2;1;6;7;1;7;14;8;7;7;9;2;4;1;3;5;4;7;2;2;3;0;5;6;5;3;2;8
"mère";136;0;8;0;1;0;0;1;4;38;1;0;0;1;12;1;1;0;7;1;7;2;4;8;1;0;3;2;10;6;1;0;7;9
"lieu";134;1;3;2;3;2;4;3;5;4;15;5;3;0;0;0;0;3;4;6;4;0;11;9;14;8;7;7;1;5;2;1;0;2
